"Project";"BugNumber";"AP";"Rank";"FilePath";"IsBuggy";"ScoreH";"ScoreR";"ScoreS";"FinalScore";"ClassNames";"Comments";"EnumNames";"FieldNames";"InterfaceNames";"MethodNames";"NamespaceNames";"ParameterNames";"PropertyNames";"StringLiterals";"StructNames";"VariableNames"
"EntityFramework";4412;0,1;2;"src/Microsoft.EntityFrameworkCore.Relational/Query/ExpressionVisitors/RelationalEntityQueryableExpressionVisitor.cs";TRUE;0;0,234;0,922;0,549;0,121;0;0,108;0,148;0,102;0,056;0;0,217;0,058;0,735;0;0,265
"EntityFramework";4484;0,04;5;"src/Microsoft.EntityFrameworkCore/Properties/CoreStrings.Designer.cs";TRUE;0,246;1;0,465;0,475;0;0,381;0;0;0;0,291;0;0,104;0,147;0,416;0;0
"gitextensions";528;0,556;1;"GitUI/FormProcess.cs";TRUE;0;0;1;0,56;0,446;0,068;NA;0,427;NA;0,318;0,119;0,654;0,375;0,489;NA;0,05
"gitextensions";528;0,556;3;"GitCommands/Git/GitCommandsInstance.cs";TRUE;0;0;0,695;0,389;0,046;0,385;NA;0,311;NA;0,389;0,054;NA;0,058;NA;NA;0,214
"gitextensions";650;0,333;1;"GitUI/FormCommit.cs";TRUE;0;0,998;1;0,7;0,086;0,285;0;0,356;0;0,439;0;0,097;0,255;0,68;0;0,099
"gitextensions";660;1;1;"GitUI/FormCommit.cs";TRUE;0;1;1;0,7;0,233;0,238;0,124;0,369;0;0,363;0;0,302;0,448;0,42;0;0,308
"gitextensions";727;1;1;"GitUI/FormResolveConflicts.cs";TRUE;0;0;1;0,56;0,118;0,309;NA;0,402;NA;0,389;0;0,372;0,628;0,593;NA;0,209
"gitextensions";737;1;1;"GitUI/FormCommit.cs";TRUE;0,422;1;1;0,827;0,154;0,26;0,793;0,157;0;0,081;0,001;0,199;0,129;0,368;0;0,249
"gitextensions";926;0,105;3;"GitUI/FormBrowse.cs";TRUE;0,414;0;0,721;0,528;0,061;0,178;NA;0,202;NA;0,255;0,131;0,454;0,348;0,026;NA;0,313
"gitextensions";926;0,105;5;"GitCommands/Git/GitModule.cs";TRUE;0,228;0,302;0,519;0,401;0,075;0,148;0,037;0;0;0,237;0,196;0,187;0,386;0,059;0;0,071
"gitextensions";1018;1;1;"GitUI/FormSettings.cs";TRUE;0,726;0,005;1;0,779;0,14;0,237;0,121;0,257;0;0,245;0,301;0,028;0,105;0,548;0;0,385
"gitextensions";1040;0,489;2;"GitCommands/Git/GitModule.cs";TRUE;1;0,321;0,433;0,587;0,092;0,11;0,348;0,01;0;0,1;0;0,072;0,221;0,12;0;0,081
"gitextensions";1040;0,489;3;"GitUI/FormAddToGitIgnore.cs";TRUE;0;0;0,961;0,538;0,359;NA;NA;0,193;NA;0,269;NA;0,157;NA;0,575;NA;0,24
"gitextensions";1040;0,489;10;"GitUI/FormAddToGitIgnore.Designer.cs";TRUE;0;0,001;0,72;0,403;0,501;0,244;0;0,215;0;0,086;0;0;0;0,432;0;0
"gitextensions";1054;0,3;2;"GitUI/FormRemoteProcess.cs";TRUE;0,274;0;1;0,642;0,06;0,039;NA;0,245;NA;0,156;0;0,45;0,141;0,264;NA;0,512
"gitextensions";1054;0,3;5;"GitUI/FormRemotes.cs";TRUE;0,216;0,002;0,717;0,466;0,12;0,031;0;0,2;0;0,216;0,089;0;0,134;0,374;0;0,313
"gitextensions";1063;0,667;1;"GitCommands/Git/GitModule.cs";TRUE;1;0,034;0,676;0,683;0,31;0,184;0,312;0;0;0,05;0;0,132;0,294;0,194;0,086;0,17
"gitextensions";1063;0,667;2;"GitCommands/CommitData.cs";TRUE;0,218;0;0,972;0,61;0,39;0,113;0,676;0,078;NA;0,281;NA;0,285;0,454;0,226;0,042;0,379
"gitextensions";1089;0,288;4;"GitCommands/Strings.cs";TRUE;0;0;0,859;0,481;0,024;NA;NA;0,255;NA;0,315;0;NA;NA;0,956;NA;NA
"gitextensions";1089;0,288;5;"GitCommands/Git/GitCommandHelpers.cs";TRUE;0,523;0,035;0,518;0,452;0,106;0,104;0,028;0;0;0,198;0;0,112;0,328;0,038;0,068;0,07
"gitextensions";1089;0,288;6;"GitUI/RevisionGrid.cs";TRUE;0,115;0,002;0,734;0,446;0,049;0,413;0,173;0,038;0;0,201;0,037;0,136;0,164;0,102;0,068;0,105
"gitextensions";1092;0,2;5;"GitCommands/Git/GitCommandHelpers.cs";TRUE;0,523;0,766;0,629;0,616;0,007;0,24;0,164;0,233;0;0,13;0,001;0,164;0,076;0,063;0;0,216
"gitextensions";1104;1;1;"GitUI/FormSettings.cs";TRUE;0,673;0,161;0,675;0,602;0,015;0,072;0,12;0,131;0;0,184;0,027;0;0,176;0,122;0;0,036
"gitextensions";1128;1;1;"GitPlugin/Plugin.cs";TRUE;0,177;0,004;1;0,614;0;0,109;0;0,179;0;0,35;0,001;0,311;0;0,419;0;0
"gitextensions";1128;1;2;"GitPlugin/Connect.cs";TRUE;0,261;0,003;0,916;0,591;0,577;0,188;0;0;0;0,333;0,001;0,295;0;0,222;0;0
"gitextensions";1161;0,5;1;"GitUI/FormBrowse.cs";TRUE;0,61;0,027;0,777;0,622;0,264;0,078;0;0,075;0,521;0,119;0,001;0,062;0,155;0,155;0;0,221
"gitextensions";1180;0,029;7;"GitUI/Blame/BlameControl.cs";TRUE;0,001;1;0,496;0,418;0,352;0;0;0,235;0;0,193;0,839;0,095;0,105;0;0;0,311
"gitextensions";1199;1;1;"GitUI/FormCommit.cs";TRUE;0,227;1;1;0,768;0,262;0,266;0,204;0,158;0;0,176;0;0,222;0,136;0,271;0;0,315
"gitextensions";1209;0,05;5;"GitCommands/Git/GitModule.cs";TRUE;0,699;0,115;0,392;0,445;0,029;0,227;0;0,145;0;0,113;0,001;0,111;0,033;0,149;0;0,125
"gitextensions";1264;1;1;"GitUI/FormSettings.cs";TRUE;0,226;0,386;0,992;0,677;0,017;0,144;0;0,209;0;0,162;0,001;0,271;0,164;0,025;0;0,031
"gitextensions";1294;1;1;"GitUI/WindowPositionList.cs";TRUE;0;0;1;0,56;1,075;0,404;NA;NA;NA;NA;0,003;NA;NA;0,787;NA;0,316
"gitextensions";1294;1;2;"GitUI/GitExtensionsForm.cs";TRUE;0,167;0,002;0,809;0,504;0,81;0,339;0;0,168;0;0,332;0,09;0,272;0,4;0;0;0,387
"gitextensions";1301;0,25;2;"GitCommands/Git/GitCommandHelpers.cs";TRUE;1;0,629;0,56;0,702;0,074;0,226;0,023;0,034;0;0,115;0;0,253;0,067;0,108;0;0,111
"gitextensions";1347;0,2;5;"GitUI/Editor/XHTML2RTF.cs";TRUE;0,027;0,063;0,74;0,431;0,278;0,059;0;0;0;0;0;0,273;0;0;0,366;0,136
"gitextensions";1353;1;1;"GitCommands/SynchronizedProcessReader.cs";TRUE;0,298;0;1;0,65;0,114;0,221;NA;NA;NA;0,07;0,264;0,563;0,08;NA;NA;0,307
"gitextensions";1353;1;2;"GitCommands/Git/GitCommandHelpers.cs";TRUE;1;0,216;0,56;0,644;0,115;0,15;0,259;0,082;0;0,115;0,132;0,222;0,088;0,057;0;0,152
"gitextensions";1354;0,056;6;"GitUI/DashboardItem.cs";TRUE;0,041;0;0,75;0,433;0,176;0,262;NA;0,331;NA;0,038;0,002;0,071;0,231;NA;NA;NA
"gitextensions";1396;1;1;"GitUI/FormSettings.cs";TRUE;0,652;0,858;0,917;0,829;0,204;0,1;0,032;0,263;0;0,241;0,225;0,056;0,116;0,391;0;0,369
"gitextensions";1428;0,5;2;"GitUI/FormCommit.cs";TRUE;0,551;1;0,671;0,681;0,223;0,265;0,787;0,168;0;0,188;0,022;0,426;0,226;0,279;0;0,22
"gitextensions";1464;0,125;8;"GitUI/GitUICommands.cs";TRUE;0,228;0,063;0,761;0,503;0,201;0,139;0;0,024;0,222;0,192;0,362;0,18;0,087;0,261;0;0,189
"gitextensions";1475;0,167;6;"GitUI/Tag/FormTagSmall.Designer.cs";TRUE;0,219;0,001;0,815;0,522;0,45;0,383;0;0,345;0;0,282;0,661;0;0;0,479;0;0
"gitextensions";1493;0,7;1;"GitPlugin/Connect.cs";TRUE;0,705;0,571;0,958;0,828;0,376;0,213;0;0;0;0,24;0,001;0,358;0,024;0,125;0;0,058
"gitextensions";1493;0,7;5;"GitPlugin/Plugin.cs";TRUE;0,307;0,573;0,821;0,632;0,014;0,195;0;0,237;0;0,222;0,001;0,216;0;0,113;0;0,011
"gitextensions";1502;0,333;3;"GitCommands/Git/GitCommandHelpers.cs";TRUE;0,588;0,1;0,611;0,532;0,29;0,089;0,572;0,162;0;0,143;0,361;0,073;0,28;0,213;0;0,207
"gitextensions";1565;0,25;4;"GitUI/FormDeleteBranch.Designer.cs";TRUE;0,026;0,002;0,958;0,544;0,847;0,523;0;0,517;0;0,578;0;0;0,312;0,558;0;0
"gitextensions";1570;1;1;"GitUI/FormCommit.cs";TRUE;0,502;1;0,839;0,76;0,105;0,113;0,553;0,119;0;0,183;0;0,268;0,113;0,112;0,128;0,189
"Glimpse";245;0,25;4;"source/Glimpse.AspNet/PreBodyTagFilter.cs";TRUE;0,513;0,132;0,511;0,459;0;0;0;0;0;0;0,051;0,372;0,343;0;0;0,292
"Glimpse";254;0,063;4;"source/Glimpse.Mvc3/Tab/ModelBinding.cs";TRUE;0;0;0,762;0,427;0,491;NA;NA;NA;0,089;0,545;0,109;0,533;0,171;0,185;NA;0,201
"Glimpse";255;0,442;2;"source/Glimpse.Core/Framework/GlimpseRuntime.cs";TRUE;1;0;0,548;0,607;NA;NA;NA;0,201;0,191;0,15;NA;NA;0,214;0,072;NA;0,115
"Glimpse";255;0,442;3;"source/Glimpse.Core/Resource/PopupResource.cs";TRUE;0,196;0;0,961;0,597;0,186;0,138;NA;0,162;NA;NA;NA;NA;NA;0,218;NA;0,385
"Glimpse";255;0,442;5;"source/Glimpse.AspNet/Extensions/HttpContextExtensions.cs";TRUE;0,513;1;0,466;0,555;0;0;0;0;0;0,386;0;0;0;0,089;0;0,278
"Glimpse";258;1;1;"source/Glimpse.Mvc3/AlternateType/AsyncActionInvoker.cs";TRUE;0,652;1;0,784;0,774;0,491;0,55;0;0,052;0,28;0,228;0,261;0,041;0,207;0,422;0;0,249
"Glimpse";264;0,1;5;"source/Glimpse.AspNet/SerializationConverter/ListOfRouteModelConverter.cs";TRUE;0,206;0;0,85;0,538;0,246;NA;NA;NA;NA;0,15;0,113;0,195;0,238;0,288;NA;NA
"Glimpse";329;1;1;"source/Glimpse.Core/Extensibility/NuGetPackageAttribute.cs";TRUE;0;0;1;0,56;0,251;0,08;0,577;NA;NA;0,098;NA;NA;NA;NA;NA;NA
"Glimpse";426;0,143;7;"source/Glimpse.Core/Resource/ConfigurationResource.cs";TRUE;1;0,039;0,347;0,5;0,02;0,142;0;0;0;0,061;0;0;0,109;0,202;0;0,113
"Glimpse";502;0,037;9;"source/Glimpse.AspNet/AspNetFrameworkProvider.cs";TRUE;0,037;0,02;0,574;0,335;0,234;0,075;0;0,308;0;0,242;0,378;0,005;0,152;0,338;0;0,329
"Glimpse";594;0,1;10;"source/Glimpse.WebForms/Tab/ControlTree.cs";TRUE;0;0;0,666;0,373;0,161;0,172;NA;NA;NA;NA;NA;NA;NA;0,084;NA;0,096
"Glimpse";618;0,5;2;"source/Glimpse.WebForms/Tab/ControlTree.cs";TRUE;0,335;0,355;0,549;0,458;0,158;0,274;0;0,298;0;0;1,586;0;0,045;0,378;0;0,332
"Glimpse";619;0,1;10;"source/Glimpse.Mvc5/Properties/AssemblyInfo.cs";TRUE;0;0,068;0,46;0,267;0;0,128;0;0;0;0,073;0,004;0;0;0,254;0;0
"Glimpse";629;0,25;4;"source/Glimpse.WebForms/Support/ViewStateFormatter.cs";TRUE;0;0;0,683;0,383;0,142;NA;NA;NA;NA;0,016;NA;0,238;0,138;0,298;NA;0,359
"Glimpse";632;0,5;2;"source/Glimpse.AspNet/AspNetFrameworkProvider.cs";TRUE;0,024;0,481;1;0,635;0,245;0,17;0;1,204;0;0,377;0,057;0;0,366;0,195;0;0,115
"Glimpse";637;0,042;3;"source/Glimpse.Mvc/Tab/ModelBinding.cs";TRUE;0;0,297;0,988;0,595;0,315;0;0;0;0;0,439;0,573;0,204;0,182;0,449;0;0,17
"Glimpse";666;0,125;8;"source/Glimpse.AspNet/Model/RequestModel.cs";TRUE;0;0;0,466;0,261;0,392;NA;NA;NA;NA;0,235;0,005;0,08;0,391;NA;NA;0,329
"Hearthstone-Deck-Tracker";1005;0,333;3;"Hearthstone Deck Tracker/GameEventHandler.cs";TRUE;0;0;0,993;0,556;0,18;0,197;0,389;0,137;NA;0,209;0,361;0,125;0,277;0,272;NA;0,13
"Hearthstone-Deck-Tracker";1500;0,143;7;"Hearthstone Deck Tracker/Hearthstone/Player.cs";TRUE;0;0;0,625;0,35;0,191;0,127;0,935;0,036;NA;0,128;NA;0,179;0,18;0,136;NA;0,213
"Hearthstone-Deck-Tracker";1680;0,5;2;"Hearthstone Deck Tracker/Exporting/ExportingActions.cs";TRUE;0,547;1;0,752;0,725;0,386;0,093;0;0,346;0;0,101;1,57;0,105;0,119;0,191;0;0,023
"Hearthstone-Deck-Tracker";1700;0,333;1;"Hearthstone Deck Tracker/TurnTimer.cs";TRUE;0;0;1;0,56;0,583;0,693;NA;0,482;NA;0,429;NA;0,793;0,445;NA;NA;NA
"Hearthstone-Deck-Tracker";1700;0,333;6;"Hearthstone Deck Tracker/GameEventHandler.cs";TRUE;0;0;0,711;0,398;0,328;0,407;NA;0,126;NA;0,22;NA;0,068;0,126;0,154;0,206;0,217
"Hearthstone-Deck-Tracker";1705;0,167;6;"Hearthstone Deck Tracker/GameEventHandler.cs";TRUE;0;1;0,4;0,364;0,237;0,08;0;0,168;0;0,144;0;0;0,114;0,217;0;0,034
"Hearthstone-Deck-Tracker";1735;0,056;9;"Hearthstone Deck Tracker/Hearthstone/Player.cs";TRUE;0;0,47;0,473;0,331;0,087;0,1;0,547;0,086;0;0,411;0;0,09;0,212;0,534;0;0,027
"ILSpy";46;1;1;"ILSpy/AboutPage.cs";TRUE;0,47;0;1;0,701;0,245;0,147;NA;0,254;NA;0,171;NA;NA;0,601;0,258;NA;0,354
"ILSpy";74;0,167;3;"SharpTreeView/SharpTreeView.cs";TRUE;0;0;0,968;0,542;0,074;0,419;NA;0,071;NA;0,126;0,607;0,052;0,139;0,096;NA;0,192
"ILSpy";185;0,25;4;"ICSharpCode.Decompiler/ILAst/ILAstOptimizer.cs";TRUE;0;0,57;0,954;0,614;0,365;0,274;0,148;0,269;0;0,17;0,184;0,036;0,039;0,068;0;0,042
"ILSpy";202;0,067;5;"ICSharpCode.Decompiler/ILAst/ILAstOptimizer.cs";TRUE;0,322;1;0,341;0,428;0,14;0,113;0,04;0,017;0;0,047;0,442;0,021;0,008;0,003;0;0,039
"ILSpy";211;0,125;8;"ICSharpCode.Decompiler/ILAst/InitializerPeepholeTransforms.cs";TRUE;0;0;0,927;0,519;0,42;0,237;0,116;0,086;NA;0,178;1,29;0,141;0,193;0,205;NA;0,112
